Time (days),Cs-137,Sr-90,Y-90,Radiation,Shielded Radiation
0.0,1000,500,0,0.0,0.0
1.0,1000,500,0,0.0,0.0
2.0,999,500,0,6.0,1.8071652714732127
3.0,999,500,0,0.5,0.15059710595610107
4.0,999,500,0,0.0,0.0
5.0,999,500,0,0.0,0.0
6.0,999,500,0,0.0,0.0
7.0,999,500,0,0.0,0.0
8.0,999,500,0,0.0,0.0
9.0,999,500,0,0.0,0.0
10.0,999,500,0,0.0,0.0
11.0,999,500,0,0.0,0.0
12.0,998,500,0,6.0,1.8071652714732127
13.0,998,500,0,0.5,0.15059710595610107
14.0,998,500,0,0.0,0.0
15.0,997,500,0,6.0,1.8071652714732127
16.0,997,500,0,0.5,0.15059710595610107
17.0,997,500,0,0.0,0.0
18.0,997,500,0,0.0,0.0
19.0,997,500,0,0.0,0.0
20.0,997,500,0,0.0,0.0
21.0,997,500,0,0.0,0.0
22.0,997,500,0,0.0,0.0
23.0,997,500,0,0.0,0.0
24.0,997,500,0,0.0,0.0
25.0,997,500,0,0.0,0.0
26.0,997,500,0,0.0,0.0
27.0,997,500,0,0.0,0.0
28.0,997,500,0,0.0,0.0
29.0,997,500,0,0.0,0.0
30.0,997,500,0,0.0,0.0
31.0,997,500,0,0.0,0.0
32.0,997,499,1,5.0,1.5059710595610107
33.0,996,499,0,13.0,3.9155247548586276
34.0,996,499,0,0.5,0.15059710595610107
35.0,996,499,0,0.0,0.0
36.0,996,498,1,5.0,1.5059710595610107
37.0,996,498,1,0.0,0.0
38.0,996,498,1,0.0,0.0
39.0,996,498,0,7.0,2.108359483385415
40.0,996,498,0,0.0,0.0
41.0,996,498,0,0.0,0.0
42.0,996,498,0,0.0,0.0
43.0,996,498,0,0.0,0.0
44.0,996,498,0,0.0,0.0
45.0,996,498,0,0.0,0.0
46.0,996,498,0,0.0,0.0
47.0,996,498,0,0.0,0.0
48.0,996,497,1,5.0,1.5059710595610107
49.0,995,497,0,13.0,3.9155247548586276
50.0,995,497,0,0.5,0.15059710595610107
51.0,995,497,0,0.0,0.0
52.0,995,497,0,0.0,0.0
53.0,995,497,0,0.0,0.0
54.0,995,497,0,0.0,0.0
55.0,995,497,0,0.0,0.0
56.0,995,497,0,0.0,0.0
57.0,995,497,0,0.0,0.0
58.0,995,497,0,0.0,0.0
59.0,995,497,0,0.0,0.0
60.0,995,497,0,0.0,0.0
61.0,995,497,0,0.0,0.0
62.0,995,497,0,0.0,0.0
63.0,995,497,0,0.0,0.0
64.0,995,497,0,0.0,0.0
65.0,995,497,0,0.0,0.0
